season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2012-2013,Liga FUTVE,Apertura,Jornada 9,zTex6dJ3,2012-10-14T20:30:00+00:00,2012-10-14T16:30:00-04:00,Miranda,Dep. Táchira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 9,rgap4zlG,2012-10-14T20:30:00+00:00,2012-10-14T16:30:00-04:00,Trujillanos,La Guaira,0,3,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 9,v12T7Ili,2012-10-14T20:30:00+00:00,2012-10-14T16:30:00-04:00,Yaracuyanos,Atl. Venezuela,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 9,EJft5GY9,2012-10-14T21:30:00+00:00,2012-10-14T17:30:00-04:00,Estudiantes M.,Mineros,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 9,v1vLcYQq,2012-10-14T22:30:00+00:00,2012-10-14T18:30:00-04:00,Aragua,Zulia,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 9,48mg2EIS,2012-10-14T22:30:00+00:00,2012-10-14T18:30:00-04:00,Zamora,El Vigía,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,CExTeCed,2012-10-21T19:30:00+00:00,2012-10-21T15:30:00-04:00,Portuguesa,Estudiantes M.,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,lWLBKeYd,2012-10-21T20:00:00+00:00,2012-10-21T16:00:00-04:00,Zulia,Dep. Táchira,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,YNwPdhtj,2012-10-21T20:30:00+00:00,2012-10-21T16:30:00-04:00,Atl. Venezuela,Monagas,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,MqKJIZ29,2012-10-21T20:30:00+00:00,2012-10-21T16:30:00-04:00,El Vigía,Mineros,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
