season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2003-2004,Liga FUTVE,Apertura,Jornada 1,lv5c5Rm7,2003-08-03T20:30:00+00:00,2003-08-03T16:30:00-04:00,Carabobo,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 1,Yi6hTUuE,2003-08-03T20:30:00+00:00,2003-08-03T16:30:00-04:00,Estudiantes M.,Caracas,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 1,pUYLB2At,2003-08-03T20:30:00+00:00,2003-08-03T16:30:00-04:00,Mineros,Trujillanos,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 1,SU314o3D,2003-08-03T20:30:00+00:00,2003-08-03T16:30:00-04:00,Miranda,El Vigía,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 1,viYPAMPn,2003-08-03T20:30:00+00:00,2003-08-03T16:30:00-04:00,U. A. Maracaibo,Monagas,4,2,H,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 2,0fUJEktR,2003-08-10T20:30:00+00:00,2003-08-10T16:30:00-04:00,Estudiantes M.,Miranda,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 2,IZGoA9lr,2003-08-10T20:30:00+00:00,2003-08-10T16:30:00-04:00,Mineros,Caracas,0,3,A,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 2,bkCp8T3l,2003-08-10T20:30:00+00:00,2003-08-10T16:30:00-04:00,Monagas,El Vigía,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 2,tE1k7mJf,2003-08-10T20:30:00+00:00,2003-08-10T16:30:00-04:00,Trujillanos,Carabobo,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 2,K40g67Y0,2003-08-10T20:30:00+00:00,2003-08-10T16:30:00-04:00,U. A. Maracaibo,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 3,M3VFFVQK,2003-08-16T20:30:00+00:00,2003-08-16T16:30:00-04:00,Miranda,Monagas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 3,8GPGh8J7,2003-08-17T20:30:00+00:00,2003-08-17T16:30:00-04:00,Carabobo,Caracas,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 3,fDLCgl41,2003-08-17T20:30:00+00:00,2003-08-17T16:30:00-04:00,El Vigía,Dep. Táchira,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 3,Qyx7Hid8,2003-08-17T20:30:00+00:00,2003-08-17T16:30:00-04:00,Mineros,Estudiantes M.,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 3,4SzBGBBE,2003-08-17T20:30:00+00:00,2003-08-17T16:30:00-04:00,U. A. Maracaibo,Trujillanos,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 4,xrYK1CdL,2003-09-14T20:30:00+00:00,2003-09-14T16:30:00-04:00,Caracas,U. A. Maracaibo,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
2003-2004,Liga FUTVE,Apertura,Jornada 4,K6NP0WBR,2003-09-14T20:30:00+00:00,2003-09-14T16:30:00-04:00,Dep. Táchira,Monagas,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2003-2004/resultados/
