season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2006-2007,Liga FUTVE,Apertura,Jornada 1,QHXsZUx8,2006-08-06T20:30:00+00:00,2006-08-06T16:30:00-04:00,Carabobo,U. A. Maracaibo,0,3,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 1,Y7MWsNt8,2006-08-06T20:30:00+00:00,2006-08-06T16:30:00-04:00,Caracas,Monagas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 1,nBQzssdE,2006-08-06T20:30:00+00:00,2006-08-06T16:30:00-04:00,Mineros,Dep. Táchira,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 1,tYPvt1BK,2006-08-06T20:30:00+00:00,2006-08-06T16:30:00-04:00,Portuguesa,Zamora,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 1,KOOruLQQ,2006-08-06T20:30:00+00:00,2006-08-06T16:30:00-04:00,Trujillanos,Aragua,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 2,nRYwzBN1,2006-08-12T20:30:00+00:00,2006-08-12T16:30:00-04:00,Dep. Táchira,Portuguesa,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 2,h4c4rgVR,2006-08-13T20:30:00+00:00,2006-08-13T16:30:00-04:00,Aragua,Mineros,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 2,dxtRxDwq,2006-08-13T20:30:00+00:00,2006-08-13T16:30:00-04:00,Caracas,Zamora,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 2,v1VVyXhk,2006-08-13T20:30:00+00:00,2006-08-13T16:30:00-04:00,Monagas,U. A. Maracaibo,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 2,IiUZzi8e,2006-08-13T20:30:00+00:00,2006-08-13T16:30:00-04:00,Trujillanos,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 3,KjadpF0F,2006-08-19T20:30:00+00:00,2006-08-19T16:30:00-04:00,Carabobo,Monagas,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 3,bsb0qZFL,2006-08-19T20:30:00+00:00,2006-08-19T16:30:00-04:00,Mineros,Trujillanos,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 3,63gcNig2,2006-08-20T20:30:00+00:00,2006-08-20T16:30:00-04:00,Caracas,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 3,OO5mnyW2,2006-08-20T20:30:00+00:00,2006-08-20T16:30:00-04:00,Portuguesa,Aragua,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 3,2F4ioeo9,2006-08-20T20:30:00+00:00,2006-08-20T16:30:00-04:00,U. A. Maracaibo,Zamora,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 4,Igi6VFoM,2006-08-27T20:30:00+00:00,2006-08-27T16:30:00-04:00,Aragua,Caracas,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 4,02EIUZ0S,2006-08-27T20:30:00+00:00,2006-08-27T16:30:00-04:00,Dep. Táchira,U. A. Maracaibo,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 4,Wp1pQg9q,2006-08-27T20:30:00+00:00,2006-08-27T16:30:00-04:00,Mineros,Carabobo,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 4,Ay0lPDOk,2006-08-27T20:30:00+00:00,2006-08-27T16:30:00-04:00,Trujillanos,Portuguesa,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 4,h0kgOXwd,2006-08-27T20:30:00+00:00,2006-08-27T16:30:00-04:00,Zamora,Monagas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 5,8vhbAE9d,2006-09-10T20:30:00+00:00,2006-09-10T16:30:00-04:00,Carabobo,Zamora,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 5,lEakZcnc,2006-09-10T20:30:00+00:00,2006-09-10T16:30:00-04:00,Caracas,Trujillanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 5,S4bgYH13,2006-09-10T20:30:00+00:00,2006-09-10T16:30:00-04:00,Monagas,Dep. Táchira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 5,MRccXyH9,2006-09-10T20:30:00+00:00,2006-09-10T16:30:00-04:00,Portuguesa,Mineros,4,3,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 5,zV11WeWF,2006-09-10T20:30:00+00:00,2006-09-10T16:30:00-04:00,U. A. Maracaibo,Aragua,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 6,UmgfBffj,2006-09-16T20:30:00+00:00,2006-09-16T16:30:00-04:00,Mineros,Caracas,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 6,EZa6VOu5,2006-09-17T20:30:00+00:00,2006-09-17T16:30:00-04:00,Aragua,Monagas,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 6,drNIUreB,2006-09-17T20:30:00+00:00,2006-09-17T16:30:00-04:00,Dep. Táchira,Zamora,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 6,v7CNT2AH,2006-09-17T20:30:00+00:00,2006-09-17T16:30:00-04:00,Portuguesa,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 6,zRgjCzup,2006-09-17T20:30:00+00:00,2006-09-17T16:30:00-04:00,Trujillanos,U. A. Maracaibo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 7,As3kZ6tt,2006-09-24T20:30:00+00:00,2006-09-24T16:30:00-04:00,Carabobo,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 7,Op7gYQen,2006-09-24T20:30:00+00:00,2006-09-24T16:30:00-04:00,Caracas,Portuguesa,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 7,69dbXpBh,2006-09-24T20:30:00+00:00,2006-09-24T16:30:00-04:00,U. A. Maracaibo,Mineros,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 7,p0e2W4Qb,2006-09-24T20:30:00+00:00,2006-09-24T16:30:00-04:00,Zamora,Aragua,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 8,xlkSH5B5,2006-10-01T20:30:00+00:00,2006-10-01T16:30:00-04:00,Aragua,Dep. Táchira,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 8,WAlWGPQB,2006-10-01T20:30:00+00:00,2006-10-01T16:30:00-04:00,Caracas,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 8,A1mzGqtI,2006-10-01T20:30:00+00:00,2006-10-01T16:30:00-04:00,Mineros,Monagas,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 8,jD4XE3eO,2006-10-01T20:30:00+00:00,2006-10-01T16:30:00-04:00,Portuguesa,U. A. Maracaibo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 8,U33yENAU,2006-10-01T20:30:00+00:00,2006-10-01T16:30:00-04:00,Trujillanos,Zamora,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 7,KSMFIoda,2006-10-04T20:30:00+00:00,2006-10-04T16:30:00-04:00,Monagas,Trujillanos,1,4,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 9,bofU31ad,2006-10-08T20:30:00+00:00,2006-10-08T16:30:00-04:00,Carabobo,Aragua,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 9,G66KSpxc,2006-10-08T20:30:00+00:00,2006-10-08T16:30:00-04:00,Dep. Táchira,Trujillanos,5,2,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 9,fc5OR4i3,2006-10-08T20:30:00+00:00,2006-10-08T16:30:00-04:00,Monagas,Portuguesa,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 9,CYaTQO69,2006-10-08T20:30:00+00:00,2006-10-08T16:30:00-04:00,U. A. Maracaibo,Caracas,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 9,jPbXPrMF,2006-10-08T20:30:00+00:00,2006-10-08T16:30:00-04:00,Zamora,Mineros,3,3,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 10,nBjQ4spj,2006-10-12T20:30:00+00:00,2006-10-12T16:30:00-04:00,Dep. Táchira,Mineros,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 10,2wFgA3MS,2006-10-14T20:30:00+00:00,2006-10-14T16:30:00-04:00,Monagas,Caracas,0,3,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 10,4n1L5NUq,2006-10-14T20:30:00+00:00,2006-10-14T16:30:00-04:00,U. A. Maracaibo,Carabobo,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 10,jemwCPiG,2006-10-15T20:30:00+00:00,2006-10-15T16:30:00-04:00,Aragua,Trujillanos,4,2,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 10,Y3AkBq7M,2006-10-15T20:30:00+00:00,2006-10-15T16:30:00-04:00,Zamora,Portuguesa,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 11,MFeMF7hi,2006-10-22T20:30:00+00:00,2006-10-22T16:30:00-04:00,Mineros,Aragua,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 11,06fQER7c,2006-10-22T20:30:00+00:00,2006-10-22T16:30:00-04:00,Portuguesa,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 11,fTgUDoN3,2006-10-22T20:30:00+00:00,2006-10-22T16:30:00-04:00,U. A. Maracaibo,Monagas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 11,8WcYC5xA,2006-10-22T20:30:00+00:00,2006-10-22T16:30:00-04:00,Zamora,Caracas,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 12,0pJBa6NG,2006-10-29T21:30:00+00:00,2006-10-29T17:30:00-04:00,Aragua,Portuguesa,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 12,r98GbQxN,2006-10-29T21:30:00+00:00,2006-10-29T17:30:00-04:00,Dep. Táchira,Caracas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 12,dCCKcphT,2006-10-29T21:30:00+00:00,2006-10-29T17:30:00-04:00,Monagas,Carabobo,3,3,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 12,Eiang40p,2006-10-29T21:30:00+00:00,2006-10-29T17:30:00-04:00,Trujillanos,Mineros,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 12,hrbjhOFj,2006-10-29T21:30:00+00:00,2006-10-29T17:30:00-04:00,Zamora,U. A. Maracaibo,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 13,U1pq4U8o,2006-11-05T21:30:00+00:00,2006-11-05T17:30:00-04:00,Carabobo,Mineros,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 13,Sn3n3lOi,2006-11-05T21:30:00+00:00,2006-11-05T17:30:00-04:00,Caracas,Aragua,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 13,ABhi28wb,2006-11-05T21:30:00+00:00,2006-11-05T17:30:00-04:00,Monagas,Zamora,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 13,l2ie1Sh4,2006-11-05T21:30:00+00:00,2006-11-05T17:30:00-04:00,Portuguesa,Trujillanos,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 13,Iyda0n8A,2006-11-05T21:30:00+00:00,2006-11-05T17:30:00-04:00,U. A. Maracaibo,Dep. Táchira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 11,CtYhuoWp,2006-11-08T21:30:00+00:00,2006-11-08T17:30:00-04:00,Carabobo,Trujillanos,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 14,2NQ1m9O4,2006-11-12T21:30:00+00:00,2006-11-12T17:30:00-04:00,Aragua,U. A. Maracaibo,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 14,KrgEnTwB,2006-11-12T21:30:00+00:00,2006-11-12T17:30:00-04:00,Dep. Táchira,Monagas,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 14,E5hIomgH,2006-11-12T21:30:00+00:00,2006-11-12T17:30:00-04:00,Mineros,Portuguesa,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 14,hdiMp78N,2006-11-12T21:30:00+00:00,2006-11-12T17:30:00-04:00,Trujillanos,Caracas,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 14,AXoRqRNT,2006-11-12T21:30:00+00:00,2006-11-12T17:30:00-04:00,Zamora,Carabobo,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 15,jeDUrfXI,2006-11-19T21:30:00+00:00,2006-11-19T17:30:00-04:00,Carabobo,Portuguesa,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 15,fivoiiPu,2006-11-19T21:30:00+00:00,2006-11-19T17:30:00-04:00,Caracas,Mineros,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 15,YswkjBvn,2006-11-19T21:30:00+00:00,2006-11-19T17:30:00-04:00,Monagas,Aragua,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 15,t8xgkVgh,2006-11-19T21:30:00+00:00,2006-11-19T17:30:00-04:00,U. A. Maracaibo,Trujillanos,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 15,Kbyclk9b,2006-11-19T21:30:00+00:00,2006-11-19T17:30:00-04:00,Zamora,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 16,4fg1mIIm,2006-11-26T21:30:00+00:00,2006-11-26T17:30:00-04:00,Aragua,Zamora,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 16,n3GDnxYg,2006-11-26T21:30:00+00:00,2006-11-26T17:30:00-04:00,Dep. Táchira,Carabobo,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
2006-2007,Liga FUTVE,Apertura,Jornada 16,4vBIodm0,2006-11-26T21:30:00+00:00,2006-11-26T17:30:00-04:00,Mineros,U. A. Maracaibo,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2006-2007/resultados/
