season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2026,Liga FUTVE,Apertura,Jornada 1,YodeAvpn,2026-01-29T20:00:00+00:00,2026-01-29T16:00:00-04:00,Dep. Táchira,Anzoategui FC,3,1,H,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 1,fwrjaEyo,2026-01-30T23:00:00+00:00,2026-01-30T19:00:00-04:00,Puerto Cabello,Metropolitanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 1,UXVpjyaU,2026-01-31T19:30:00+00:00,2026-01-31T15:30:00-04:00,Rayo Zuliano,Zamora,0,1,A,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 1,6D928IEb,2026-01-31T21:00:00+00:00,2026-01-31T17:00:00-04:00,Carabobo,Portuguesa,0,0,D,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 1,zg1J4zEN,2026-01-31T23:00:00+00:00,2026-01-31T19:00:00-04:00,La Guaira,Monagas,2,0,H,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 1,KGZyNHTi,2026-02-01T21:00:00+00:00,2026-02-01T17:00:00-04:00,Estudiantes M.,Caracas,2,2,D,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 1,2u3B6dqB,2026-02-01T23:00:00+00:00,2026-02-01T19:00:00-04:00,Universidad Central,Trujillanos,2,0,H,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 2,niRhFQRr,2026-02-06T22:00:00+00:00,2026-02-06T18:00:00-04:00,Portuguesa,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 2,tf6XBiLj,2026-02-06T23:30:00+00:00,2026-02-06T19:30:00-04:00,Anzoategui FC,Rayo Zuliano,1,3,A,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 2,KxBCZfDc,2026-02-07T21:00:00+00:00,2026-02-07T17:00:00-04:00,Zamora,Estudiantes M.,3,2,H,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 2,tWNpLeb4,2026-02-07T22:00:00+00:00,2026-02-07T18:00:00-04:00,Caracas,Puerto Cabello,1,1,D,https://ve.soccerway.com/venezuela/liga-futve/resultados/
2026,Liga FUTVE,Apertura,Jornada 2,ldRhJZSG,2026-02-07T23:30:00+00:00,2026-02-07T19:30:00-04:00,Monagas,Universidad Central,0,3,A,https://ve.soccerway.com/venezuela/liga-futve/resultados/
