season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2009-2010,Liga FUTVE,Apertura,,lzoLKFvE,2009-08-09T19:30:00+00:00,2009-08-09T15:30:00-04:00,El Vigía,Monagas,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,KpveA27H,2009-08-09T20:30:00+00:00,2009-08-09T16:30:00-04:00,Lara,Mineros,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,YgoRjvL9,2009-08-09T20:30:00+00:00,2009-08-09T16:30:00-04:00,Zamora,Miranda,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,xQtAFvYB,2009-08-09T20:30:00+00:00,2009-08-09T16:30:00-04:00,Zulia,La Guaira,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,ITeR4glD,2009-08-09T21:30:00+00:00,2009-08-09T17:30:00-04:00,Centro Italo,Yaracuyanos,2,3,A,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,biiJVxqp,2009-08-09T21:30:00+00:00,2009-08-09T17:30:00-04:00,Dep. Anzoátegui,Carabobo,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,Uy1myaLM,2009-08-09T21:30:00+00:00,2009-08-09T17:30:00-04:00,Dep. Táchira,Estudiantes M.,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,l0pEEbmI,2009-08-09T22:30:00+00:00,2009-08-09T18:30:00-04:00,Aragua,Trujillanos,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,ruF8LEYg,2009-08-15T20:30:00+00:00,2009-08-15T16:30:00-04:00,Miranda,Zulia,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
2009-2010,Liga FUTVE,Apertura,,v78HJh36,2009-08-16T20:00:00+00:00,2009-08-16T16:00:00-04:00,Carabobo,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2009-2010/resultados/
