season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2013-2014,Liga FUTVE,Apertura,Jornada 1,OWKflyqG,2013-08-10T20:00:00+00:00,2013-08-10T16:00:00-04:00,Atl. Venezuela,Tucanes,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,2NJbmebM,2013-08-10T20:00:00+00:00,2013-08-10T16:00:00-04:00,Carabobo,Llaneros,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,2NuU2zb9,2013-08-11T13:30:00+00:00,2013-08-11T09:30:00-04:00,Aragua,Estudiantes M.,2,3,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,dpJ2nFDS,2013-08-11T20:00:00+00:00,2013-08-11T16:00:00-04:00,El Vigía,Lara,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,WxAUsZLq,2013-08-11T20:30:00+00:00,2013-08-11T16:30:00-04:00,Caracas,Trujillanos,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,E1aZtgyj,2013-08-11T20:30:00+00:00,2013-08-11T16:30:00-04:00,Zulia,Mineros,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,hhbwtDjd,2013-08-11T21:30:00+00:00,2013-08-11T17:30:00-04:00,Dep. Anzoátegui,Miranda,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,t8iL4dTd,2013-08-11T21:50:00+00:00,2013-08-11T17:50:00-04:00,Dep. Táchira,La Guaira,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 1,KbjP3Gr3,2013-08-11T22:30:00+00:00,2013-08-11T18:30:00-04:00,Zamora,Yaracuyanos,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,hQy6sQR0,2013-08-17T21:30:00+00:00,2013-08-17T17:30:00-04:00,Yaracuyanos,Dep. Táchira,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,2eJd4mZD,2013-08-17T23:30:00+00:00,2013-08-17T19:30:00-04:00,Mineros,Aragua,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,GQqY1fDF,2013-08-18T19:30:00+00:00,2013-08-18T15:30:00-04:00,Tucanes,El Vigía,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,nD65qncl,2013-08-18T20:00:00+00:00,2013-08-18T16:00:00-04:00,Atl. Venezuela,Carabobo,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,8M71pSsr,2013-08-18T20:00:00+00:00,2013-08-18T16:00:00-04:00,Lara,Dep. Anzoátegui,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,nmyAtps7,2013-08-18T20:30:00+00:00,2013-08-18T16:30:00-04:00,Llaneros,Caracas,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,0juEu4dD,2013-08-18T20:30:00+00:00,2013-08-18T16:30:00-04:00,Trujillanos,Zulia,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,tnI037lK,2013-08-18T21:30:00+00:00,2013-08-18T17:30:00-04:00,Estudiantes M.,La Guaira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 2,EZx2r6Cf,2013-08-19T13:30:00+00:00,2013-08-19T09:30:00-04:00,Miranda,Zamora,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,lCsvHQIJ,2013-08-24T22:30:00+00:00,2013-08-24T18:30:00-04:00,Aragua,Trujillanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,fgbyc5Rm,2013-08-25T20:00:00+00:00,2013-08-25T16:00:00-04:00,Caracas,Carabobo,3,4,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,ALM42R3Q,2013-08-25T20:00:00+00:00,2013-08-25T16:00:00-04:00,El Vigía,Atl. Venezuela,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,6T1udPtf,2013-08-25T20:30:00+00:00,2013-08-25T16:30:00-04:00,Yaracuyanos,Estudiantes M.,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,0j1qeqd0,2013-08-25T20:30:00+00:00,2013-08-25T16:30:00-04:00,Zulia,Llaneros,3,3,D,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,dIfhgNQC,2013-08-25T21:30:00+00:00,2013-08-25T17:30:00-04:00,Dep. Anzoátegui,Tucanes,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,vs0mf3B6,2013-08-25T21:30:00+00:00,2013-08-25T17:30:00-04:00,Dep. Táchira,Miranda,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 3,z9gdhstJ,2013-08-25T22:30:00+00:00,2013-08-25T18:30:00-04:00,Zamora,Lara,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 4,nmNEAOem,2013-08-31T20:00:00+00:00,2013-08-31T16:00:00-04:00,Atl. Venezuela,Dep. Anzoátegui,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
2013-2014,Liga FUTVE,Apertura,Jornada 4,fDMI9rBg,2013-08-31T21:30:00+00:00,2013-08-31T17:30:00-04:00,Lara,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2013-2014/resultados/
