season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2005-2006,Liga FUTVE,Apertura,Jornada 1,WtcOAoy7,2005-08-10T20:30:00+00:00,2005-08-10T16:30:00-04:00,Aragua,Trujillanos,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 1,AXeS95jD,2005-08-10T20:30:00+00:00,2005-08-10T16:30:00-04:00,Dep. Táchira,Caracas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 1,GfbJYlTD,2005-08-10T20:30:00+00:00,2005-08-10T16:30:00-04:00,Estudiantes M.,Carabobo,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 1,Uc2NX8rK,2005-08-10T20:30:00+00:00,2005-08-10T16:30:00-04:00,Mineros,ItalMaracaibo,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 1,OK1RWScQ,2005-08-10T20:30:00+00:00,2005-08-10T16:30:00-04:00,U. A. Maracaibo,Monagas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 2,ERgDFTyr,2005-08-14T20:30:00+00:00,2005-08-14T16:30:00-04:00,Carabobo,Mineros,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 2,th4BDmil,2005-08-14T20:30:00+00:00,2005-08-14T16:30:00-04:00,Caracas,U. A. Maracaibo,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 2,27hKBRL0,2005-08-14T20:30:00+00:00,2005-08-14T16:30:00-04:00,Estudiantes M.,Aragua,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 2,OGgGC76f,2005-08-14T20:30:00+00:00,2005-08-14T16:30:00-04:00,ItalMaracaibo,Dep. Táchira,2,3,A,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
2005-2006,Liga FUTVE,Apertura,Jornada 3,dn7oK9TQ,2005-08-20T20:30:00+00:00,2005-08-20T16:30:00-04:00,Dep. Táchira,Carabobo,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2005-2006/resultados/
