season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2008-2009,Liga FUTVE,Apertura,,pSogLNSe,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Carabobo,Zulia,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,GpVbUR59,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Dep. Anzoátegui,Caracas,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,OIpcKsr2,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Dep. Táchira,Estrella Roja,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,6JeJRPkS,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Estudiantes M.,Mineros,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,fyU2ToLF,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Lara,Portuguesa,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,lbT6S5zM,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Llaneros,Aragua,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,jiXkM3Dk,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Minerven,Zamora,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,C0YoNqbq,2008-08-09T22:30:00+00:00,2008-08-09T18:30:00-04:00,Miranda,El Vigía,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,UumlqRK2,2008-08-10T22:30:00+00:00,2008-08-10T18:30:00-04:00,U. A. Maracaibo,Monagas,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,rqihroz9,2008-08-16T22:30:00+00:00,2008-08-16T18:30:00-04:00,Aragua,Estudiantes M.,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,YXq5uqKR,2008-08-16T22:30:00+00:00,2008-08-16T18:30:00-04:00,Caracas,Zulia,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,Gdk0tP4L,2008-08-16T22:30:00+00:00,2008-08-16T18:30:00-04:00,El Vigía,Minerven,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
2008-2009,Liga FUTVE,Apertura,,x6jds5kF,2008-08-16T22:30:00+00:00,2008-08-16T18:30:00-04:00,Estrella Roja,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2008-2009/resultados/
