season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2014-2015,Liga FUTVE,Apertura,Jornada 1,nmg7IBxH,2014-08-09T22:30:00+00:00,2014-08-09T18:30:00-04:00,Aragua,Trujillanos,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,0fZsC9Fp,2014-08-10T19:30:00+00:00,2014-08-10T15:30:00-04:00,Tucanes,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,voYoBTUj,2014-08-10T19:30:00+00:00,2014-08-10T15:30:00-04:00,Zulia,Miranda,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,fgGYYWMc,2014-08-10T20:00:00+00:00,2014-08-10T16:00:00-04:00,Portuguesa,Llaneros,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,zDk3JiNA,2014-08-10T20:30:00+00:00,2014-08-10T16:30:00-04:00,Caracas,Estudiantes M.,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,82sGGk7T,2014-08-10T20:30:00+00:00,2014-08-10T16:30:00-04:00,La Guaira,Dep. Anzoátegui,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,tjCUZC7i,2014-08-10T21:30:00+00:00,2014-08-10T17:30:00-04:00,Dep. Táchira,Atl. Venezuela,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,UBrCHViN,2014-08-10T21:30:00+00:00,2014-08-10T17:30:00-04:00,Mineros,Metropolitanos,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 1,tjjaKX74,2014-08-10T22:30:00+00:00,2014-08-10T18:30:00-04:00,Zamora,Lara,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,tOmCoFQ4,2014-08-14T00:00:00+00:00,2014-08-13T20:00:00-04:00,Caracas,Metropolitanos,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,veRtWZQH,2014-08-16T22:30:00+00:00,2014-08-16T18:30:00-04:00,Lara,La Guaira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,jZfalHtn,2014-08-16T23:30:00+00:00,2014-08-16T19:30:00-04:00,Metropolitanos,Aragua,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,hvTYXed5,2014-08-17T20:30:00+00:00,2014-08-17T16:30:00-04:00,Atl. Venezuela,Zulia,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,zNKkUDeU,2014-08-17T20:30:00+00:00,2014-08-17T16:30:00-04:00,Estudiantes M.,Zamora,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,MJGoVgtO,2014-08-17T20:30:00+00:00,2014-08-17T16:30:00-04:00,Miranda,Tucanes,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,EmUUYysa,2014-08-17T21:30:00+00:00,2014-08-17T17:30:00-04:00,Mineros,Portuguesa,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 2,CrdekcRu,2014-08-18T13:30:00+00:00,2014-08-18T09:30:00-04:00,Llaneros,Dep. Táchira,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,n1l8neBb,2014-08-23T22:30:00+00:00,2014-08-23T18:30:00-04:00,Aragua,Mineros,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,zNtLqgeH,2014-08-23T22:30:00+00:00,2014-08-23T18:30:00-04:00,La Guaira,Estudiantes M.,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,hbiGpZuB,2014-08-23T23:30:00+00:00,2014-08-23T19:30:00-04:00,Dep. Anzoátegui,Miranda,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,KC7dQ4fd,2014-08-24T19:30:00+00:00,2014-08-24T15:30:00-04:00,Tucanes,Atl. Venezuela,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,zLkql8n3,2014-08-24T19:30:00+00:00,2014-08-24T15:30:00-04:00,Zulia,Llaneros,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,tM8hRpuj,2014-08-24T21:30:00+00:00,2014-08-24T17:30:00-04:00,Dep. Táchira,Portuguesa,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 3,Cn4lSQPq,2014-08-24T21:30:00+00:00,2014-08-24T17:30:00-04:00,Lara,Carabobo,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,8YminnHF,2014-08-30T22:30:00+00:00,2014-08-30T18:30:00-04:00,Aragua,Dep. Táchira,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,ShaSwOOe,2014-08-30T23:30:00+00:00,2014-08-30T19:30:00-04:00,Metropolitanos,Zamora,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,zeKmo6WL,2014-08-31T20:30:00+00:00,2014-08-31T16:30:00-04:00,Atl. Venezuela,Dep. Anzoátegui,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,WQ5Jupfq,2014-08-31T20:30:00+00:00,2014-08-31T16:30:00-04:00,Estudiantes M.,Lara,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,pU9Nv49k,2014-08-31T20:30:00+00:00,2014-08-31T16:30:00-04:00,Llaneros,Tucanes,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,EoJipQoS,2014-08-31T20:30:00+00:00,2014-08-31T16:30:00-04:00,Miranda,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,6qbWxrv2,2014-08-31T20:30:00+00:00,2014-08-31T16:30:00-04:00,Portuguesa,Zulia,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 4,faiE1RG2,2014-09-10T20:30:00+00:00,2014-09-10T16:30:00-04:00,Trujillanos,La Guaira,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,GEuNa5oF,2014-09-11T00:00:00+00:00,2014-09-10T20:00:00-04:00,Caracas,Aragua,5,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,KnO5isge,2014-09-14T19:30:00+00:00,2014-09-14T15:30:00-04:00,Tucanes,Portuguesa,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,YkjI0oW8,2014-09-14T20:00:00+00:00,2014-09-14T16:00:00-04:00,Carabobo,Atl. Venezuela,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,SCRDkLN7,2014-09-14T20:00:00+00:00,2014-09-14T16:00:00-04:00,Zulia,Dep. Táchira,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,tdP1hNwk,2014-09-14T20:30:00+00:00,2014-09-14T16:30:00-04:00,Estudiantes M.,Miranda,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,MBrVcqGR,2014-09-14T20:30:00+00:00,2014-09-14T16:30:00-04:00,La Guaira,Metropolitanos,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,SlqRbP0L,2014-09-14T21:30:00+00:00,2014-09-14T17:30:00-04:00,Dep. Anzoátegui,Llaneros,5,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,OKUdg3Or,2014-09-14T21:30:00+00:00,2014-09-14T17:30:00-04:00,Lara,Trujillanos,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 5,E9N9j181,2014-09-14T22:30:00+00:00,2014-09-14T18:30:00-04:00,Zamora,Mineros,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,8Wrq50Nf,2014-09-20T23:30:00+00:00,2014-09-20T19:30:00-04:00,Metropolitanos,Lara,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,E9qu6t8l,2014-09-21T19:30:00+00:00,2014-09-21T15:30:00-04:00,Llaneros,Carabobo,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,GY34CrVK,2014-09-21T20:30:00+00:00,2014-09-21T16:30:00-04:00,Atl. Venezuela,Miranda,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,nNsm4Kx1,2014-09-21T20:30:00+00:00,2014-09-21T16:30:00-04:00,Portuguesa,Dep. Anzoátegui,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,4bxh3vh7,2014-09-21T20:30:00+00:00,2014-09-21T16:30:00-04:00,Trujillanos,Estudiantes M.,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,8840DOFE,2014-09-21T21:30:00+00:00,2014-09-21T17:30:00-04:00,Aragua,Zamora,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,06uy7Mhr,2014-09-21T21:30:00+00:00,2014-09-21T17:30:00-04:00,Dep. Táchira,Tucanes,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 6,UH5dE408,2014-09-21T21:30:00+00:00,2014-09-21T17:30:00-04:00,Mineros,La Guaira,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,UaCQHw70,2014-09-24T19:30:00+00:00,2014-09-24T15:30:00-04:00,Tucanes,Zulia,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,nyNLIJif,2014-09-24T20:30:00+00:00,2014-09-24T16:30:00-04:00,Trujillanos,Atl. Venezuela,3,3,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,rkyd2b7D,2014-09-24T23:30:00+00:00,2014-09-24T19:30:00-04:00,Carabobo,Portuguesa,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,dhPwRspE,2014-09-24T23:30:00+00:00,2014-09-24T19:30:00-04:00,Dep. Anzoátegui,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,x2XoPLEQ,2014-09-24T23:30:00+00:00,2014-09-24T19:30:00-04:00,Lara,Mineros,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,8pOHJaxl,2014-09-25T00:00:00+00:00,2014-09-24T20:00:00-04:00,Estudiantes M.,Metropolitanos,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 7,fwrsQ1aK,2014-09-25T22:30:00+00:00,2014-09-25T18:30:00-04:00,La Guaira,Aragua,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,0bokKWSb,2014-09-27T23:30:00+00:00,2014-09-27T19:30:00-04:00,Metropolitanos,Trujillanos,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,nesoLCDh,2014-09-28T19:30:00+00:00,2014-09-28T15:30:00-04:00,Llaneros,Atl. Venezuela,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,MDZcIAcB,2014-09-28T19:30:00+00:00,2014-09-28T15:30:00-04:00,Tucanes,Zamora,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,jmv2HUCH,2014-09-28T19:30:00+00:00,2014-09-28T15:30:00-04:00,Zulia,Dep. Anzoátegui,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,rNzfJjr5,2014-09-28T20:00:00+00:00,2014-09-28T16:00:00-04:00,Portuguesa,Miranda,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,GGExFyiJ,2014-09-28T21:30:00+00:00,2014-09-28T17:30:00-04:00,Aragua,Lara,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
2014-2015,Liga FUTVE,Apertura,Jornada 8,EsqwNYrt,2014-09-28T21:30:00+00:00,2014-09-28T17:30:00-04:00,Caracas,La Guaira,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2014-2015/resultados/
