season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2016,Liga FUTVE,Apertura,Jornada 1,rBMPkZ3o,2016-01-29T00:00:00+00:00,2016-01-28T20:00:00-04:00,Zamora,Estudiantes Caracas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,ANiBWB3N,2016-01-29T21:30:00+00:00,2016-01-29T17:30:00-04:00,La Guaira,Mineros,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,M1LTlgJi,2016-01-30T19:30:00+00:00,2016-01-30T15:30:00-04:00,Zulia,Dep. Táchira,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,z5abZDJ4,2016-01-31T19:30:00+00:00,2016-01-31T15:30:00-04:00,Ureña,JBL Zulia,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,dKm7XilH,2016-01-31T20:00:00+00:00,2016-01-31T16:00:00-04:00,Atl. Venezuela,Estudiantes M.,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,Eeb2YXYA,2016-01-31T20:30:00+00:00,2016-01-31T16:30:00-04:00,Llaneros,Aragua,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,4piFVVIT,2016-01-31T20:30:00+00:00,2016-01-31T16:30:00-04:00,Miranda,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,GOKXmDYc,2016-01-31T20:30:00+00:00,2016-01-31T16:30:00-04:00,Monagas,Dep. Anzoátegui,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 1,6gwsRkRp,2016-01-31T20:30:00+00:00,2016-01-31T16:30:00-04:00,Trujillanos,Lara,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 2,dYSuni3A,2016-02-04T19:30:00+00:00,2016-02-04T15:30:00-04:00,Estudiantes Caracas,Trujillanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 2,lnjDnOgL,2016-02-04T19:30:00+00:00,2016-02-04T15:30:00-04:00,JBL Zulia,Monagas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 2,Aei9m4vF,2016-02-04T20:30:00+00:00,2016-02-04T16:30:00-04:00,Llaneros,La Guaira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 2,OnqMRMHe,2016-02-04T21:30:00+00:00,2016-02-04T17:30:00-04:00,Lara,Atl. Venezuela,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
2016,Liga FUTVE,Apertura,Jornada 2,2XfDTrmq,2016-02-04T23:30:00+00:00,2016-02-04T19:30:00-04:00,Carabobo,Portuguesa,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2016/resultados/
