season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2010-2011,Liga FUTVE,Apertura,Jornada 1,nP7oH3f5,2010-08-08T20:00:00+00:00,2010-08-08T16:00:00-04:00,Carabobo,Caroní,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,EwORdZ8j,2010-08-08T20:30:00+00:00,2010-08-08T16:30:00-04:00,Atl. Venezuela,El Vigía,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,zmPNcFgp,2010-08-08T20:30:00+00:00,2010-08-08T16:30:00-04:00,Dep. Táchira,Yaracuyanos,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,K0QILIoi,2010-08-08T20:30:00+00:00,2010-08-08T16:30:00-04:00,Lara,Zulia,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,UmcjGN9B,2010-08-08T21:00:00+00:00,2010-08-08T17:00:00-04:00,Caracas,Monagas,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,6HSUIGV9,2010-08-08T21:30:00+00:00,2010-08-08T17:30:00-04:00,Dep. Anzoátegui,Miranda,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,Y3UMKx1c,2010-08-10T23:30:00+00:00,2010-08-10T19:30:00-04:00,Zamora,Aragua,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,nTqSHzoG,2010-08-14T20:30:00+00:00,2010-08-14T16:30:00-04:00,Yaracuyanos,Trujillanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,Ob6rGEFS,2010-08-15T20:00:00+00:00,2010-08-15T16:00:00-04:00,Zulia,El Vigía,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,rqmFAhwj,2010-08-15T20:30:00+00:00,2010-08-15T16:30:00-04:00,Caroní,Caracas,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,0KcABYNq,2010-08-15T20:30:00+00:00,2010-08-15T16:30:00-04:00,Estudiantes M.,Carabobo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,hb2DXFp3,2010-08-15T20:30:00+00:00,2010-08-15T16:30:00-04:00,Miranda,Mineros,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,MZoJ9Chd,2010-08-15T20:30:00+00:00,2010-08-15T16:30:00-04:00,Monagas,Atl. Venezuela,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,E739YeVd,2010-08-15T21:30:00+00:00,2010-08-15T17:30:00-04:00,Dep. Táchira,Dep. Anzoátegui,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 2,zNiIWZa9,2010-08-15T21:30:00+00:00,2010-08-15T17:30:00-04:00,La Guaira,Zamora,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
2010-2011,Liga FUTVE,Apertura,Jornada 1,8vdfFsPH,2010-08-18T23:30:00+00:00,2010-08-18T19:30:00-04:00,Trujillanos,Estudiantes M.,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2010-2011/resultados/
