season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2004-2005,Liga FUTVE,Apertura,Jornada 1,rFBxKfws,2004-08-07T20:30:00+00:00,2004-08-07T16:30:00-04:00,Caracas,Carabobo,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 1,69IF0XxJ,2004-08-08T20:30:00+00:00,2004-08-08T16:30:00-04:00,Dep. Táchira,U. A. Maracaibo,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 1,SIJB1DNC,2004-08-08T20:30:00+00:00,2004-08-08T16:30:00-04:00,ItalMaracaibo,Estudiantes M.,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 1,CWK6PGFJ,2004-08-08T20:30:00+00:00,2004-08-08T16:30:00-04:00,Monagas,Mineros,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 1,QZOAOzVP,2004-08-08T20:30:00+00:00,2004-08-08T16:30:00-04:00,Trujillanos,Miranda,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 2,xUQb4Fwf,2004-08-13T20:30:00+00:00,2004-08-13T16:30:00-04:00,Estudiantes M.,Monagas,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 2,KhG33Zh0,2004-08-13T20:30:00+00:00,2004-08-13T16:30:00-04:00,Mineros,Dep. Táchira,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 2,dEVa6eOm,2004-08-13T20:30:00+00:00,2004-08-13T16:30:00-04:00,Miranda,ItalMaracaibo,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 2,bqF72g86,2004-08-13T20:30:00+00:00,2004-08-13T16:30:00-04:00,Trujillanos,Caracas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 3,UaFJQP92,2004-08-22T20:30:00+00:00,2004-08-22T16:30:00-04:00,Caracas,U. A. Maracaibo,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 3,QR8SO3vF,2004-08-22T20:30:00+00:00,2004-08-22T16:30:00-04:00,Dep. Táchira,Estudiantes M.,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 3,8jENPqP8,2004-08-22T20:30:00+00:00,2004-08-22T16:30:00-04:00,ItalMaracaibo,Trujillanos,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 3,2iWe7y9s,2004-08-22T20:30:00+00:00,2004-08-22T16:30:00-04:00,Monagas,Miranda,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 4,GC9K322k,2004-08-29T20:30:00+00:00,2004-08-29T16:30:00-04:00,ItalMaracaibo,Caracas,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 4,byaP2MHe,2004-08-29T20:30:00+00:00,2004-08-29T16:30:00-04:00,Mineros,U. A. Maracaibo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 4,xMAG4rmq,2004-08-29T20:30:00+00:00,2004-08-29T16:30:00-04:00,Miranda,Dep. Táchira,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 4,Cv3T1tX1,2004-08-29T20:30:00+00:00,2004-08-29T16:30:00-04:00,Trujillanos,Monagas,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 4,KS8k9OvS,2004-09-04T20:30:00+00:00,2004-09-04T16:30:00-04:00,Carabobo,Mineros,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 8,xKowA4PL,2004-09-11T20:30:00+00:00,2004-09-11T16:30:00-04:00,Caracas,Mineros,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 5,8vfMDnQd,2004-09-12T20:30:00+00:00,2004-09-12T16:30:00-04:00,Carabobo,Miranda,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 5,nVhQC6u3,2004-09-12T20:30:00+00:00,2004-09-12T16:30:00-04:00,Monagas,ItalMaracaibo,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 5,thhUBQf9,2004-09-12T20:30:00+00:00,2004-09-12T16:30:00-04:00,Trujillanos,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 5,fedYApAF,2004-09-12T20:30:00+00:00,2004-09-12T16:30:00-04:00,U. A. Maracaibo,Estudiantes M.,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 3,lEmRkqYk,2004-09-15T20:30:00+00:00,2004-09-15T16:30:00-04:00,Estudiantes M.,Mineros,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 6,S4nVl3md,2004-09-15T20:30:00+00:00,2004-09-15T16:30:00-04:00,U. A. Maracaibo,Carabobo,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 6,filNjPIq,2004-09-18T20:30:00+00:00,2004-09-18T16:30:00-04:00,ItalMaracaibo,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 6,fRpvcRuG,2004-09-19T20:30:00+00:00,2004-09-19T16:30:00-04:00,Miranda,U. A. Maracaibo,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 6,xz8jdoeM,2004-09-19T20:30:00+00:00,2004-09-19T16:30:00-04:00,Monagas,Caracas,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 6,Kbcee5AS,2004-09-19T20:30:00+00:00,2004-09-19T16:30:00-04:00,Trujillanos,Carabobo,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 7,YDyXyQ3j,2004-09-22T20:30:00+00:00,2004-09-22T16:30:00-04:00,Carabobo,ItalMaracaibo,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 7,jZmN09ti,2004-09-22T20:30:00+00:00,2004-09-22T16:30:00-04:00,Caracas,Estudiantes M.,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 7,4xhRaTec,2004-09-22T20:30:00+00:00,2004-09-22T16:30:00-04:00,Dep. Táchira,Monagas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 7,n1sWbmB3,2004-09-22T20:30:00+00:00,2004-09-22T16:30:00-04:00,Mineros,Miranda,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 7,Qitzb7Q9,2004-09-22T20:30:00+00:00,2004-09-22T16:30:00-04:00,U. A. Maracaibo,Trujillanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
2004-2005,Liga FUTVE,Apertura,Jornada 8,C2Z3rSQM,2004-09-26T20:30:00+00:00,2004-09-26T16:30:00-04:00,Dep. Táchira,Caracas,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2004-2005/resultados/
