season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2024,Liga FUTVE,Apertura,Jornada 1,QaP5Qjpk,2024-02-02T20:00:00+00:00,2024-02-02T16:00:00-04:00,Caracas,La Guaira,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 1,6FrZVCMR,2024-02-02T23:00:00+00:00,2024-02-02T19:00:00-04:00,Puerto Cabello,Carabobo,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 1,xziIZfN2,2024-02-03T19:00:00+00:00,2024-02-03T15:00:00-04:00,Rayo Zuliano,Portuguesa,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 1,GQkMYEx9,2024-02-03T21:45:00+00:00,2024-02-03T17:45:00-04:00,Monagas,Metropolitanos,2,4,A,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 1,8OU0RWUr,2024-02-04T00:30:00+00:00,2024-02-03T20:30:00-04:00,Inter de Barinas,Zamora,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 1,ChqVWh7L,2024-02-04T20:00:00+00:00,2024-02-04T16:00:00-04:00,Dep. Táchira,Estudiantes M.,5,1,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 1,bkuRXYiF,2024-02-04T23:00:00+00:00,2024-02-04T19:00:00-04:00,Angostura,Universidad Central,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,2m7koU3F,2024-02-09T19:00:00+00:00,2024-02-09T15:00:00-04:00,Portuguesa,Puerto Cabello,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,Od8onAl9,2024-02-10T19:00:00+00:00,2024-02-10T15:00:00-04:00,Zamora,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,UZ8smjZ2,2024-02-10T21:45:00+00:00,2024-02-10T17:45:00-04:00,Carabobo,Inter de Barinas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,GW4wlWJd,2024-02-11T02:00:00+00:00,2024-02-10T22:00:00-04:00,La Guaira,Monagas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,CbvcuvGd,2024-02-11T19:00:00+00:00,2024-02-11T15:00:00-04:00,Rayo Zuliano,Caracas,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,Y7ugtK0j,2024-02-12T20:00:00+00:00,2024-02-12T16:00:00-04:00,Universidad Central,Metropolitanos,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 2,Qstks0op,2024-02-12T23:00:00+00:00,2024-02-12T19:00:00-04:00,Estudiantes M.,Angostura,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,bPkrMHIo,2024-02-16T23:00:00+00:00,2024-02-16T19:00:00-04:00,Caracas,Portuguesa,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,CSgnLyYi,2024-02-17T19:00:00+00:00,2024-02-17T15:00:00-04:00,Metropolitanos,Zamora,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,6kgjKemb,2024-02-17T21:45:00+00:00,2024-02-17T17:45:00-04:00,Angostura,La Guaira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,jgNfHgXG,2024-02-17T21:45:00+00:00,2024-02-17T17:45:00-04:00,Puerto Cabello,Estudiantes M.,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,pthfJF24,2024-02-18T00:30:00+00:00,2024-02-17T20:30:00-04:00,Dep. Táchira,Rayo Zuliano,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,dKBacYuo,2024-02-18T19:00:00+00:00,2024-02-18T15:00:00-04:00,Inter de Barinas,Universidad Central,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 3,C2OjIZHA,2024-02-18T21:45:00+00:00,2024-02-18T17:45:00-04:00,Monagas,Carabobo,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 4,boNiO1p1,2024-02-23T20:00:00+00:00,2024-02-23T16:00:00-04:00,Portuguesa,Dep. Táchira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 4,QXOqQNFl,2024-02-23T23:00:00+00:00,2024-02-23T19:00:00-04:00,Universidad Central,Monagas,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
2024,Liga FUTVE,Apertura,Jornada 4,GMHdNLa7,2024-02-24T19:00:00+00:00,2024-02-24T15:00:00-04:00,La Guaira,Puerto Cabello,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2024/resultados/
